Problem,Encoding,Instance,Pre-processing,Result,Model,Time,Solving,1st Model,Unsat,CPU,Pre-proc Time(Nanos)
./Instances/House_Configuration,active_BK_enum,p15_c15_t30,OK,SATISFIABLE,1+,5.655,3.42,3.42,0,5.655,0
./Instances/House_Configuration,active_BK_full,p15_c15_t30,OK,SATISFIABLE,1+,2.525,0.01,0.01,0,2.525,0
./Instances/House_Configuration,active_BK_order,p15_c15_t30,OK,SATISFIABLE,1+,2.7,0.43,0.43,0,2.7,0
./Instances/House_Configuration,active_BK_sat,p15_c15_t30,OK,SATISFIABLE,1+,6.777,4.49,4.49,0,6.776,0
./Instances/House_Configuration,BASE,p15_c15_t30,OK,SATISFIABLE,1+,4.155,0.56,0.56,0,4.154,0
./Instances/House_Configuration,SBASS,p15_c15_t30,Timeout,UNKNOWN,0+,900,0,0,0,0,900
./Instances/House_Configuration,active_BK_enum,p2_c6_t13,OK,UNSATISFIABLE,0,0.337,0.33,0,0.33,0.337,0
./Instances/House_Configuration,active_BK_full,p2_c6_t13,OK,UNSATISFIABLE,0,0.329,0.32,0,0.32,0.329,0
./Instances/House_Configuration,active_BK_order,p2_c6_t13,OK,UNSATISFIABLE,0,0.097,0.09,0,0.09,0.097,0
./Instances/House_Configuration,active_BK_sat,p2_c6_t13,OK,UNSATISFIABLE,0,0.025,0.02,0,0.02,0.025,0
./Instances/House_Configuration,BASE,p2_c6_t13,OK,UNSATISFIABLE,0,219.753,219.75,0,219.75,219.748,0
./Instances/House_Configuration,SBASS,p2_c6_t13,OK,UNSATISFIABLE,0,12.951,12.94,0,12.94,12.951,94847310
./Instances/House_Configuration,active_BK_enum,p2_c80_t160,OK,SATISFIABLE,1+,4.928,0.07,0.07,0,4.928,0
./Instances/House_Configuration,active_BK_full,p2_c80_t160,OK,SATISFIABLE,1+,5.024,0.05,0.05,0,5.024,0
./Instances/House_Configuration,active_BK_order,p2_c80_t160,OK,SATISFIABLE,1+,5.166,0.07,0.07,0,5.166,0
./Instances/House_Configuration,active_BK_sat,p2_c80_t160,OK,SATISFIABLE,1+,5.001,0.05,0.05,0,5.001,0
./Instances/House_Configuration,BASE,p2_c80_t160,OK,SATISFIABLE,1+,6.583,0.1,0.1,0,6.582,0
./Instances/House_Configuration,SBASS,p2_c80_t160,Timeout,UNKNOWN,0+,900,0,0,0,0,900
./Instances/House_Configuration,active_BK_enum,p3_c6_t13,OK,UNSATISFIABLE,0,0.342,0.33,0,0.33,0.342,0
./Instances/House_Configuration,active_BK_full,p3_c6_t13,OK,UNSATISFIABLE,0,0.424,0.41,0,0.41,0.424,0
./Instances/House_Configuration,active_BK_order,p3_c6_t13,OK,UNSATISFIABLE,0,0.093,0.08,0,0.08,0.093,0
./Instances/House_Configuration,active_BK_sat,p3_c6_t13,OK,UNSATISFIABLE,0,0.031,0.02,0,0.02,0.031,0
./Instances/House_Configuration,BASE,p3_c6_t13,OK,UNSATISFIABLE,0,254.065,254.05,0,254.05,254.059,0
./Instances/House_Configuration,SBASS,p3_c6_t13,OK,UNSATISFIABLE,0,73.041,73.03,0,73.03,73.039,241780835
./Instances/House_Configuration,active_BK_enum,p3_c80_t160,OK,SATISFIABLE,1+,13.682,0.14,0.14,0,13.682,0
./Instances/House_Configuration,active_BK_full,p3_c80_t160,OK,SATISFIABLE,1+,14.11,0.14,0.14,0,14.11,0
./Instances/House_Configuration,active_BK_order,p3_c80_t160,OK,SATISFIABLE,1+,15.174,0.1,0.1,0,15.173,0
./Instances/House_Configuration,active_BK_sat,p3_c80_t160,OK,SATISFIABLE,1+,14.315,0.1,0.1,0,14.315,0
./Instances/House_Configuration,BASE,p3_c80_t160,OK,SATISFIABLE,1+,20.724,0.12,0.12,0,20.724,0
./Instances/House_Configuration,SBASS,p3_c80_t160,Timeout,UNKNOWN,0+,900,0,0,0,0,900
./Instances/House_Configuration,active_BK_enum,p4_c6_t13,OK,UNSATISFIABLE,0,0.42,0.4,0,0.4,0.42,0
./Instances/House_Configuration,active_BK_full,p4_c6_t13,OK,UNSATISFIABLE,0,0.349,0.33,0,0.33,0.349,0
./Instances/House_Configuration,active_BK_order,p4_c6_t13,OK,UNSATISFIABLE,0,0.102,0.09,0,0.09,0.102,0
./Instances/House_Configuration,active_BK_sat,p4_c6_t13,OK,UNSATISFIABLE,0,0.035,0.02,0,0.02,0.035,0
./Instances/House_Configuration,BASE,p4_c6_t13,OK,UNSATISFIABLE,0,221.784,221.77,0,221.77,221.779,0
./Instances/House_Configuration,SBASS,p4_c6_t13,OK,UNSATISFIABLE,0,105.145,105.13,0,105.13,105.141,453084087
./Instances/House_Configuration,active_BK_enum,p4_c7_t15,OK,UNSATISFIABLE,0,13.263,13.24,0,13.24,13.263,0
./Instances/House_Configuration,active_BK_full,p4_c7_t15,OK,UNSATISFIABLE,0,14.229,14.21,0,14.21,14.229,0
./Instances/House_Configuration,active_BK_order,p4_c7_t15,OK,UNSATISFIABLE,0,1.524,1.5,0,1.5,1.524,0
./Instances/House_Configuration,active_BK_sat,p4_c7_t15,OK,UNSATISFIABLE,0,0.335,0.31,0,0.31,0.335,0
./Instances/House_Configuration,BASE,p4_c7_t15,OK,UNKNOWN,0+,900,899.97,0,0,899.981,0
./Instances/House_Configuration,SBASS,p4_c7_t15,OK,UNKNOWN,0+,900,899.98,0,0,899.969,729327938
./Instances/House_Configuration,active_BK_enum,p4_c80_t160,OK,SATISFIABLE,1+,27.437,0.24,0.24,0,27.436,0
./Instances/House_Configuration,active_BK_full,p4_c80_t160,OK,SATISFIABLE,1+,27.299,0.18,0.18,0,27.298,0
./Instances/House_Configuration,active_BK_order,p4_c80_t160,OK,SATISFIABLE,1+,28.145,0.18,0.18,0,28.144,0
./Instances/House_Configuration,active_BK_sat,p4_c80_t160,OK,SATISFIABLE,1+,28.866,0.16,0.16,0,28.865,0
./Instances/House_Configuration,BASE,p4_c80_t160,OK,SATISFIABLE,1+,40.121,0.23,0.23,0,40.119,0
./Instances/House_Configuration,SBASS,p4_c80_t160,Timeout,UNKNOWN,0+,900,0,0,0,0,900
./Instances/House_Configuration,active_BK_enum,p5_c6_t13,OK,UNSATISFIABLE,0,0.418,0.39,0,0.39,0.418,0
./Instances/House_Configuration,active_BK_full,p5_c6_t13,OK,UNSATISFIABLE,0,0.397,0.38,0,0.38,0.397,0
./Instances/House_Configuration,active_BK_order,p5_c6_t13,OK,UNSATISFIABLE,0,0.101,0.08,0,0.08,0.101,0
./Instances/House_Configuration,active_BK_sat,p5_c6_t13,OK,UNSATISFIABLE,0,0.042,0.02,0,0.02,0.042,0
./Instances/House_Configuration,BASE,p5_c6_t13,OK,UNSATISFIABLE,0,236.961,236.93,0,236.93,236.955,0
./Instances/House_Configuration,SBASS,p5_c6_t13,OK,UNSATISFIABLE,0,405.461,405.43,0,405.43,405.438,890495896
./Instances/House_Configuration,active_BK_enum,p5_c80_t160,OK,SATISFIABLE,1+,48.057,0.34,0.34,0,48.056,0
./Instances/House_Configuration,active_BK_full,p5_c80_t160,OK,SATISFIABLE,1+,49.645,0.19,0.19,0,49.643,0
./Instances/House_Configuration,active_BK_order,p5_c80_t160,OK,SATISFIABLE,1+,48.598,0.27,0.27,0,48.597,0
./Instances/House_Configuration,active_BK_sat,p5_c80_t160,OK,SATISFIABLE,1+,49.382,0.23,0.23,0,49.381,0
./Instances/House_Configuration,BASE,p5_c80_t160,OK,SATISFIABLE,1+,68.167,0.32,0.32,0,68.164,0
./Instances/House_Configuration,SBASS,p5_c80_t160,Timeout,UNKNOWN,0+,900,0,0,0,0,900
./Instances/Pigeon_Color,active_BK_enum,c1_p12_h11,OK,UNSATISFIABLE,0,1.939,1.93,0,1.93,1.939,0
./Instances/Pigeon_Color,active_BK_full,c1_p12_h11,OK,UNSATISFIABLE,0,0.006,0,0,0,0.006,0
./Instances/Pigeon_Color,active_BK_order,c1_p12_h11,OK,UNSATISFIABLE,0,0.007,0,0,0,0.007,0
./Instances/Pigeon_Color,active_BK_sat,c1_p12_h11,OK,UNSATISFIABLE,0,0.007,0,0,0,0.007,0
./Instances/Pigeon_Color,BASE,c1_p12_h11,OK,UNSATISFIABLE,0,692.704,692.7,0,692.7,692.689,0
./Instances/Pigeon_Color,SBASS,c1_p12_h11,OK,UNSATISFIABLE,0,0.015,0,0,0,0.015,283908248
./Instances/Pigeon_Color,active_BK_enum,c1_p52_h52,OK,SATISFIABLE,1+,0.147,0.01,0.01,0,0.147,0
./Instances/Pigeon_Color,active_BK_full,c1_p52_h52,OK,SATISFIABLE,1,0.1,0,0,0,0.099,0
./Instances/Pigeon_Color,active_BK_order,c1_p52_h52,OK,SATISFIABLE,1,0.101,0,0,0,0.101,0
./Instances/Pigeon_Color,active_BK_sat,c1_p52_h52,OK,SATISFIABLE,1,0.1,0,0,0,0.1,0
./Instances/Pigeon_Color,BASE,c1_p52_h52,OK,SATISFIABLE,1+,0.145,0.01,0.01,0,0.145,0
./Instances/Pigeon_Color,SBASS,c1_p52_h52,OK,SATISFIABLE,1+,1.083,0.35,0.35,0,1.083,63454508955
./Instances/Pigeon_Color,active_BK_enum,c2_p12_h12,OK,UNSATISFIABLE,0,6.648,6.64,0,6.64,6.647,0
./Instances/Pigeon_Color,active_BK_full,c2_p12_h12,OK,UNSATISFIABLE,0,0.01,0,0,0,0.01,0
./Instances/Pigeon_Color,active_BK_order,c2_p12_h12,OK,UNSATISFIABLE,0,0.01,0,0,0,0.01,0
./Instances/Pigeon_Color,active_BK_sat,c2_p12_h12,OK,UNSATISFIABLE,0,0.009,0,0,0,0.009,0
./Instances/Pigeon_Color,BASE,c2_p12_h12,OK,UNKNOWN,0+,900,899.99,0,0,899.98,0
./Instances/Pigeon_Color,SBASS,c2_p12_h12,OK,UNKNOWN,0+,900,899.98,0,0,899.979,92210322
./Instances/Pigeon_Color,active_BK_enum,c2_p52_h53,OK,SATISFIABLE,1+,0.559,0.26,0.26,0,0.559,0
./Instances/Pigeon_Color,active_BK_full,c2_p52_h53,OK,SATISFIABLE,1+,0.293,0,0,0,0.293,0
./Instances/Pigeon_Color,active_BK_order,c2_p52_h53,OK,SATISFIABLE,1+,0.421,0.02,0.02,0,0.421,0
./Instances/Pigeon_Color,active_BK_sat,c2_p52_h53,OK,SATISFIABLE,1,0.298,0,0,0,0.298,0
./Instances/Pigeon_Color,BASE,c2_p52_h53,OK,UNKNOWN,0+,900,899.36,0,0,899.979,0
./Instances/Pigeon_Color,SBASS,c2_p52_h53,OK,UNKNOWN,0+,900,898.92,0,0,899.981,93870096964
./Instances/Pigeon_Color,active_BK_enum,c3_p12_h13,OK,UNSATISFIABLE,0,4.457,4.44,0,4.44,4.457,0
./Instances/Pigeon_Color,active_BK_full,c3_p12_h13,OK,UNSATISFIABLE,0,0.019,0,0,0,0.019,0
./Instances/Pigeon_Color,active_BK_order,c3_p12_h13,OK,UNSATISFIABLE,0,0.052,0.04,0,0.04,0.052,0
./Instances/Pigeon_Color,active_BK_sat,c3_p12_h13,OK,UNSATISFIABLE,0,0.014,0,0,0,0.014,0
./Instances/Pigeon_Color,BASE,c3_p12_h13,OK,UNKNOWN,0+,900,899.98,0,0,899.98,0
./Instances/Pigeon_Color,SBASS,c3_p12_h13,OK,UNKNOWN,0+,900,899.97,0,0,899.968,227697047
./Instances/Pigeon_Color,active_BK_enum,c3_p52_h54,OK,SATISFIABLE,1+,4.974,4.32,4.32,0,4.974,0
./Instances/Pigeon_Color,active_BK_full,c3_p52_h54,OK,SATISFIABLE,1+,0.628,0,0,0,0.628,0
./Instances/Pigeon_Color,active_BK_order,c3_p52_h54,OK,SATISFIABLE,1+,1.072,0.1,0.1,0,1.072,0
./Instances/Pigeon_Color,active_BK_sat,c3_p52_h54,OK,SATISFIABLE,1+,0.545,0,0,0,0.545,0
./Instances/Pigeon_Color,BASE,c3_p52_h54,OK,SATISFIABLE,1+,1.674,0.02,0.02,0,1.674,0
./Instances/Pigeon_Color,SBASS,c3_p52_h54,OK,UNKNOWN,0+,900,897.91,0,0,899.981,4.49E+11
./Instances/Pigeon_Color,active_BK_enum,c4_p12_h14,OK,UNSATISFIABLE,0,4.195,4.17,0,4.17,4.194,0
./Instances/Pigeon_Color,active_BK_full,c4_p12_h14,OK,UNSATISFIABLE,0,0.075,0.06,0,0.06,0.075,0
./Instances/Pigeon_Color,active_BK_order,c4_p12_h14,OK,UNSATISFIABLE,0,3.026,3,0,3,3.026,0
./Instances/Pigeon_Color,active_BK_sat,c4_p12_h14,OK,UNSATISFIABLE,0,0.022,0,0,0,0.022,0
./Instances/Pigeon_Color,BASE,c4_p12_h14,OK,UNKNOWN,0+,900,899.96,0,0,899.975,0
./Instances/Pigeon_Color,SBASS,c4_p12_h14,OK,UNKNOWN,0+,900,899.97,0,0,899.976,479035307
./Instances/Pigeon_Color,active_BK_enum,c4_p52_h55,OK,SATISFIABLE,1+,3.131,2.11,2.11,0,3.131,0
./Instances/Pigeon_Color,active_BK_full,c4_p52_h55,OK,SATISFIABLE,1+,3.849,2.91,2.91,0,3.849,0
./Instances/Pigeon_Color,active_BK_order,c4_p52_h55,OK,SATISFIABLE,1+,2.033,0.28,0.28,0,2.033,0
./Instances/Pigeon_Color,active_BK_sat,c4_p52_h55,OK,SATISFIABLE,1+,0.959,0,0,0,0.959,0
./Instances/Pigeon_Color,BASE,c4_p52_h55,OK,UNKNOWN,0+,900,896.6,0,0,899.982,0
./Instances/Pigeon_Color,SBASS,c4_p52_h55,OK,UNKNOWN,0+,900,896.58,0,0,899.967,5.50E+11
./Instances/Pigeon_Color,active_BK_enum,c5_p12_h15,OK,UNSATISFIABLE,0,5.673,5.64,0,5.64,5.673,0
./Instances/Pigeon_Color,active_BK_full,c5_p12_h15,OK,UNSATISFIABLE,0,0.251,0.22,0,0.22,0.251,0
./Instances/Pigeon_Color,active_BK_order,c5_p12_h15,OK,UNSATISFIABLE,0,138.861,138.83,0,138.83,138.856,0
./Instances/Pigeon_Color,active_BK_sat,c5_p12_h15,OK,UNSATISFIABLE,0,0.035,0.01,0,0.01,0.035,0
./Instances/Pigeon_Color,BASE,c5_p12_h15,OK,UNKNOWN,0+,900,899.94,0,0,899.979,0
./Instances/Pigeon_Color,SBASS,c5_p12_h15,OK,UNKNOWN,0+,900,899.94,0,0,899.98,1020019849
./Instances/Pigeon_Color,active_BK_enum,c5_p52_h56,OK,SATISFIABLE,1+,18.336,16.74,16.74,0,18.335,0
